รหัส,หมวดหมู่,รายการ,รายละเอียด,เวลา/ระยะเวลา,กลุ่มเป้าหมาย,PKG Philosophy ที่เชื่อมโยง,สถานะ
M1-1,Module 1,รับฟัง - ฟังอย่างลึก,กิจกรรม Silent Listening: จับคู่ฟัง 3 นาที ห้ามพูดแทรก ห้ามสอน ห้ามตัดสิน,1.5 ชม.,พนักงานทุกระดับ,วัฒนธรรม #7, นโยบาย #9,พร้อมใช้งาน
M1-2,Module 1,รับความจริง - ยอมรับข้อมูลจริง,กิจกรรม Fact vs Feeling: แยกแยะข้อเท็จจริง vs ความรู้สึก,1.5 ชม.,พนักงานทุกระดับ,วัฒนธรรม #19, Data-Only Rule,พร้อมใช้งาน
M1-3,Module 1,รับความเปลี่ยนแปลง - ละทิ้งอัตตา,กิจกรรม My Comfort Zone: เขียนสิ่งที่ยึดติด แล้วพิจารณาว่าอะไรต้องปล่อย,1 ชม.,พนักงานทุกระดับ,วัฒนธรรม #5,#6,พร้อมใช้งาน
M2-1,Module 2,รับผิดชอบ - แก้ไขไม่รักษาหน้า,Role Play No Excuses: ฝึกพูด "ฉันรับผิดชอบ จะแก้ไขดังนี้..." ห้ามอ้างเหตุผล,2 ชม.,พนักงานทุกระดับ,นโยบายรับประกันความพึงพอใจ ข้อ 2,พร้อมใช้งาน
M2-2,Module 2,รับผิด - เสียสละเพื่อผู้อื่น,Workshop My Biggest Mistake: แชร์ความผิดพลาดใหญ่ที่สุด โดยไม่มีการตัดสิน,1.5 ชม.,พนักงานทุกระดับ,วัฒนธรรม #20, อุปนิสัย #6,พร้อมใช้งาน
M2-3,Module 2,Blameless Culture - วัฒนธรรมไม่โทษคน,Simulation Process Over Person: วิเคราะห์กระบวนการ ไม่ใช่ตัวคน,1.5 ชม.,พนักงานทุกระดับ,วัฒนธรรม #8,#9, นโยบาย #7,พร้อมใช้งาน
M3-1,Module 3,8 อุปนิสัยผู้นำผู้รับใช้,360° Assessment: หัวหน้าประเมินตัวเอง + ลูกทีมประเมินแบบลับ,2 ชม.,หัวหน้างาน/ผู้บริหาร,อุปนิสัย 8 ประการ,พร้อมใช้งาน
M3-2,Module 3,5 บทบาทผู้นำผู้รับใช้,Workshop My Leadership DNA: วิเคราะห์บทบาทเด่น/ขาด + วางแผนเสริม,1.5 ชม.,หัวหน้างาน/ผู้บริหาร,5 Roles of Servant Leadership,พร้อมใช้งาน
M3-3,Module 3,สร้างบรรยากาศ 9 ในทีม,Design Sprint: ทีมร่วมกันออกแบบกติกาทีมเพื่อให้ได้บรรยากาศ 9 ข้อ,2 ชม.,หัวหน้างาน/ผู้บริหาร,บรรยากาศ 9, นโยบาย #3,พร้อมใช้งาน
D-1,กิจกรรมประจำวัน,Morning "รับฟัง" Check (08:30),หัวหน้าถาม "วันนี้พลังงานคุณ 1-10?" รับฟังโดยปราศจากอคติ,5 นาที,พนักงานทุกระดับ,6 รับ ข้อ 1,พร้อมใช้งาน
